	text1	text2
470	73 ну	73 ну
471	74 казак платовский	74 платовский казак
472	75 очень умный и болтун	очень болтун умный 75 и
473	76 казак не знать тот общество в который он находиться потому что простота наполеон не иметь ничто такой что бы мочь открыть для восточный воображение присутствие государь разговаривать с чрезвычайный фамильярность о обстоятельство настоящий война	простота присутствие потому о фамильярность что такой что настоящий чрезвычайный для воображение государь иметь он с тот мочь который открыть война знать общество казак бы не разговаривать обстоятельство восточный ничто 76 не наполеон в находиться
474	77 ежели сражение произойти прежде три день то француз выиграть он но ежели после три день то бог знать что случиться	выиграть день произойти прежде бог ежели три ежели он сражение то день после то 77 что но случиться француз три знать
475	молодая улыбнуться 78 свой казак могущественный собеседник заставить	78 молодая казак заставить улыбнуться свой могущественный собеседник
476	79 на это дитя дон	79 дитя дон это на
477	едва 80 и охватить более он завоеватель казак продолжать ехать восточный через глаз с то достигнуть слово не до имя какой один не остолбенение который спускать переводчик как казак ни произнести это сказать степь наполеон	80 едва переводчик наполеон сказать это казак как казак охватить какой то остолбенение не произнести более ни один слово и продолжать ехать не спускать глаз с завоеватель имя который достигнуть до он через восточный степь
478	весь молчаливый наивный он и разговорчивость восторг и вдруг замениться чувство прекратиться	весь он разговорчивость вдруг прекратиться и замениться наивный и молчаливый чувство восторг
479	казак наполеон возвращать родной дать он наградить поль свобода как птица который приказать она	наполеон наградить казак приказать дать он свобода как птица который возвращать она родной поль
480	поль родной возвратить 81 птица	81 птица возвратить родной поль
481	82 мадемуазель бурьен быть принимать он с почесть в богучаров	мадемуазель богучаров бурьен 82 принимать в он быть почесть с
482	жанлис 83 де рыцарь лебедь мадам	83 рыцарь лебедь мадам де жанлис
483	вовремя весь ждать уметь 84 тот кто приходить для	84 весь приходить вовремя для тот кто уметь ждать
484	слышать это 85 не ухо вот что плохо	85 это ухо не слышать вот что плохо
485	86 в сомнение мой милый воздерживаться	86 сомнение милый воздерживаться в мой
486	87 войти сам в себя и в этот лодка и постараться чтоб этот лодка не сделаться для вы лодка харон	чтоб лодка постараться этот не и себя в сделаться сам и вы 87 лодка этот войти лодка харон в для
487	смешной 88	88 смешной
488	89 злоязычный	злоязычный 89
489	90 мой рыцарь	90 мой рыцарь
490	91 когда ред	91 когда ред
491	92 плохой	92 плохой
492	москва 93 это знать весь	93 это весь москва знать
493	право я вы удивляться	право вы я удивляться
494	94 что знать весь москва	что москва весь 94 знать
495	95 этот милый вера	этот вера милый 95
496	96 сударыня нет	96 нет сударыня
497	97 кто тот извиняться себя обвинять	97 кто извиняться тот обвинять себя
498	немножечко человек в влюбить 98 молодой	98 немножечко влюбить в молодой человек
499	99 только что леппий быть готовый составить экипаж для он лодка из верный и умный человек и послать курьер к генерал кутузов чтобы предупредить он	человек и леппий генерал к для 99 курьер составить готовый верный только лодка предупредить чтобы кутузов что он из умный и экипаж быть он послать
500	я он о сообщить это	я сообщить он о это
501	внушить пожалуйста леппиха чтобы он обратить хорошенько внимание на то место где он спуститься в один раз чтобы не ошибиться и не попасть в рука враг	враг попасть один внушить не внимание хорошенько в место то спуститься раз пожалуйста на чтобы в обратить чтобы леппиха не ошибиться и он рука где он
502	с главнокомандующий движение соображать он свой необходимый чтоб движение	необходимый чтоб он соображать свой движение с движение главнокомандующий
503	вы я лагерь быть 100 угощать	100 я вы быть угощать лагерь
504	101 между мы	между 101 мы
505	102 род укрепление	укрепление род 102
506	примеч	примеч
507	литр	литр
508	наш	наш
509	толстой	толстой
510	103 взять черта	103 черта взять
511	104 ну так ты большой знаешь чем кто бы то ни быть	ни чем быть ты большой знаешь бы кто то 104 ну так
512	105 война должный быть перенести в пространство	война быть должный пространство в 105 перенести
513	это воззрение я не мочь достаточно восхвалить немой	я восхвалить это немой не достаточно воззрение мочь
514		
515	106 о да так как цель состоять в тот чтобы ослабить неприятель то нельзя принимать в внимание потеря частное лицо немой	состоять внимание в немой принимать так 106 ослабить частное тот лицо чтобы о как да нельзя цель потеря то в неприятель
516		
517	107 о да немой	немой да о 107
518		
519	108 перенести в пространство немой	перенести немой пространство 108 в
520		
521	109 в пространство немой	109 немой в пространство
522		
523	110 ну ещё крепкий 111 нет пленный	крепкий 110 нет пленный 111 ещё ну
524	они заставлять истреблять себя	они истреблять себя заставлять
525	тем худой для русский армия	русский армия тем худой для
526	ну ещё ну крепкий 112 хорошо	крепкий ну ну ещё хорошо 112
527	пускай войти де босс и фабвие тоже	фабвие и тоже де пускай войти босс
528	113 слушать государь	слушать государь 113
529	до 114 свидание	114 до свидание
530	115 государь весь париж сожалеть о ваш отсутствие	ваш сожалеть отсутствие государь весь париж о 115
531	116 очень сожалеть что заставить вы проехаться так далеко	вы заставить так далеко проехаться очень 116 сожалеть что
532	117 я ожидать не менее тот как найти вы государь у ворота москва	ворота у не государь вы ожидать я как москва тот 117 найти менее
533	118 римский король	римский 118 король
534	119 чудесно	чудесно 119
535	120 да здравствовать император	да 120 император здравствовать
536	да здравствовать римский король	да здравствовать римский король
537	121 короткий и энергический	121 короткий и энергический
538	122 под москва	122 под москва
539	123 вы слишком добрый ваш величество	123 вы слишком ваш величество добрый
540	бородин 124	124 бородин
541	измениться облик бы мир 125 и	125 и облик мир измениться бы
542	ред	ред
543	126 вино откупорить и надо выпить он	вино надо и он выпить откупорить 126
544	штат придворный 127 императрица	127 придворный штат императрица
545	128 ну рапп как вы думать хороший ли быть нынче наш дело	ли 128 как ну нынче вы хороший наш рапп думать дело быть
546	129 без всякий сомнение государь	всякий 129 сомнение без государь
547	130 вы помнить ли государь тот слово который вы изволить сказать я в смоленск вино откупорить надо он пить	вы он вы смоленск пить сказать вино изволить надо который я государь откупорить в тот слово помнить ли 130
548	131 бедный армия	армия 131 бедный
549	смоленск она от уменьшиться очень	она очень уменьшиться от смоленск
550	фортуна настоящий распутница рапп	распутница настоящий фортуна рапп
551	я всегда это говорить и начинать испытывать	говорить это начинать всегда и испытывать я
552	но гвардия рапп гвардия целый	целый гвардия но рапп гвардия
553	132 да государь	132 государь да
554	133 раздать ли сухарь и рис гвардеец	ли гвардеец рис 133 сухарь и раздать
555	134 да государь	134 государь да
556	но 135 рис	135 но рис
557	136 наш тело есть машина для жизнь	тело жизнь 136 для наш машина есть
558	оно для это устроить	устроить для это оно
559	оставить в немой жизнь в покой пускай она сам защищаться она большой сделать один чем когда вы она быть мешать лекарство	она жизнь в один в когда чем быть немой лекарство большой оставить она сделать мешать покой она пускай защищаться сам вы
560	наш тело подобно часы который должный идти известный время часовщик не мочь открыть они и только ощупь и с завязать глаз мочь управлять они	управлять они идти и не мочь с должный мочь часы подобно тело они только наш завязать открыть глаз и ощупь часовщик который время известный
561	тело жизнь наш есть машина для	наш тело есть машина для жизнь
562	и вот весь	вот и весь
563	137 вот и весь	137 вот и весь
564	быть дело мы с иметь завтра кутузов 138	138 завтра мы быть иметь дело с кутузов
565	139 a	139 a
566	из старик	старик из
567	огонь 140 крещение	140 крещение огонь
568	роковой большой 141 центральный редут редут редут	141 большой редут роковой редут центральный редут
569	142 свой не ещё и шахматный не доска ясно король теперь я сказать что неаполитанский на полдень видеть что ещё	142 сказать неаполитанский король что теперь ещё не полдень и что я ещё не ясно видеть на свой шахматный доска
570	ступать 143 ну что ещё	143 ещё что ступать ну
571	государь орёл я сделать 145 который герцог 144 гусёнок	144 государь герцог 145 гусёнок который я сделать орёл
572	адский 146 огонь	146 адский огонь
573	короткий к убираться и прокламация 147 энергический 148	147 убираться к 148 прокламация короткий и энергический
574	149 железный человек	человек 149 железный
575	и 150 неприятельский знамя орлов пук	150 пук неприятельский орлов и знамя
576	151 за три тысяча двести верста от франция я не мочь дать разгромить свой гвардия	двести тысяча верста от не за свой франция я гвардия дать 151 разгромить мочь три
577	в пространство перенести 152 немой	152 перенести в пространство немой
578		
579	153 старый господин покойно устроиться немой	немой старый устроиться господин покойно 153
580		
581	господин немой старое 154	154 старое господин немой
582		
583	155 на это самодурство старое господин немой	на господин 155 это самодурство немой старое
584		
585	не думать как другой отступить мы что вы стать должный 156 быть	156 вы стать быть не думать как другой что мы должный отступить
586	157 напротив ваш светлость в нерешительный дело оставаться победитель тот кто упрямый и мой мнение 158 мясо для пушка	тот оставаться 157 мясо мой в напротив светлость дело ваш упрямый пушка мнение и 158 победитель для нерешительный кто
587	имя хотеться ещё 159	159 имя ещё хотеться
588	государь 160	160 государь
589	имя хотеться 161 задать и ещё ну	161 ещё хотеться ну и задать имя
590	162 пол сражение быть великолепно	быть великолепно пол сражение 162
591	163 русский война должный бы быть быть самый популярный в новый время это быть война здравый смысл и настоящий выгода война спокойствие и безопасность весь она быть чисто миролюбивый и консервативный	миролюбивый быть и выгода должный быть и бы это настоящий спокойствие самый и война новый война консервативный быть здравый чисто популярный война безопасность быть она в время смысл 163 весь русский
592	для спокойствие это великий для случайность конец цель начало для и быть	это быть для великий цель для конец случайность и для начало спокойствие
593	открываться полный новый горизонт благосостояние труд весь бы новое и благоденствие	новый горизонт новое труд открываться бы полный благосостояние и благоденствие весь
594	система европейский быть бы основать вопрос заключаться бы уже только в она учреждение	заключаться основать европейский в бы вопрос только бы учреждение система она уже быть
595	конгресс священный везде союз вопрос свой спокойный удовлетворить иметь великое тоже свой и я в этот бы и	удовлетворить в этот великое вопрос и везде спокойный я бы тоже иметь свой конгресс и свой священный союз
596	я мысль у который украсть это	это мысль который у я украсть
597	в это собрание великое государь мы обсуживать бы наш интерес семейно и считаться бы с народ как писец с хозяин	собрание писец интерес семейно бы хозяин государь и великое народ мы в с обсуживать бы как наш считаться это с
598	европа действительно скоро составить бы такой образ один и тот же народ и всякий путешествовать где бы то ни быть находиться бы всегда в общий родина	в народ всякий бы ни скоро и один образ родина общий же европа бы путешествовать действительно то составить и тот быть где такой бы всегда находиться
599	до уменьшить чтобы большой мор армия бы постоянный и весь для быть государь гвардия единственно река судоходный общий чтобы чтобы я том быть быть выговорить весь	я бы выговорить чтобы весь река быть судоходный для весь чтобы мор быть общий чтобы постоянный большой армия быть уменьшить единственно до гвардия государь и том
600	далее	далее
601	и начаться граница будущий предмет франция весь всякий защитительный ковать правление быть мой диктаторство столица весь бы бы в бы я француз сын она нация он париж кончиться распространение сильный конституционный великий новое я славный война спокойный правление присоединить антинациональный великолепный бы бы возвратиться на свой и мир неизменный родина провозгласить империя к зависть	возвратиться в франция на родина великий сильный великолепный спокойный славный я провозгласить бы граница она неизменный весь ковать будущий война защитительный всякий новое распространение антинациональный я присоединить бы свой сын к правление империя мой диктаторство кончиться бы и начаться бы он конституционный правление париж быть бы столица мир и француз предмет зависть весь нация
602	бы как сын весь досуг с государство и лошадь потом на жалоба везде и посещать и мой чета в чтобы собственный быть императрица устранять посвятить рассевать уголок день на деревенский сторона мой помощь настоящий царственный время в несправедливость то весь и мало благодеяние принимать последний помалу здание воспитывание	потом мой досуг и последний день быть бы посвятить с помощь императрица и в время царственный воспитывание мой сын на то чтобы мало помалу посещать как настоящий деревенский чета на собственный лошадь весь уголок государство принимать жалоба устранять несправедливость рассевать в весь сторона и везде здание и благодеяние
603	испанец австриец переслать 164 висла неаполитанец баварец пруссак который половина поляк 000 400 мекленбургец саксонец быть виртембергец и из итальянец человек	164 из 400 000 человек который переслать висла половина быть австриец пруссак саксонец поляк баварец виртембергец мекленбургец испанец итальянец и неаполитанец
604	императорский армия собственно сказать быть на треть составить из голландец бельгиец житель берег рейн пьемонтец швейцарец женевец тосканец римляна житель 32 й военный дивизия бремен гамбург и том	армия берег и сказать голландец тосканец из собственно гамбург бремен дивизия 32 том на пьемонтец треть быть рейн римляна женевец житель военный составить императорский й бельгиец швейцарец житель
605	далее	далее
606	ли в быть по 000 французски 140 едва она человек говорящий	в она едва ли быть 140 000 человек говорящий по французски
607	русский экспедиция стоить собственно франция менее 50 000 человек русский армия в отступление из вильный в москва в различный сражение потерять в четыре раз более чем французский армия пожар москва стоить жизнь 100 000 русский умерший от холод и нищета в леса наконец в время свой переход от москва к одер русский армия тоже пострадать от суровость время год по приход в вильнуть она состоять только из 50 000 человек а в калиш менее 18 000	менее в 000 стоить 000 стоить в 100 армия русский в 000 вильный по нищета свой русский франция от армия приход умерший только 18 тоже в в суровость москва и леса в москва время из от жизнь к армия экспедиция русский из наконец от пожар состоять одер 50 в французский человек а 50 четыре 000 калиш сражение человек холод потерять чем русский время вильнуть в год раз москва собственно более различный отступление переход пострадать она менее
608	165 хороший ли плохой ли мой голова а положиться большой не на кто	ли хороший на кто а 165 ли плохой мой голова положиться не большой
609	итак господин за быть перебить горшок я платить стать 166	166 итак господин стать быть я платить за перебить горшок
610	tartare 233 je suis n 167	167 je suis n 233 tartare
611	tre rqmain je voulus 234	je voulus 234 tre rqmain
612	232 georges m rent 231 barbare les russes dandin appel fran ais les	les fran 231 ais m appel 232 rent barbare les russes georges dandin
613	то есть я родиться татарин	татарин я есть то родиться
614	я хотеть быть римлянин	римлянин быть я хотеть
615	я француз варвар называть	француз называть я варвар
616	русский жорж данден	данден русский жорж
617	и эгоизм мужчина 168 жестокость вот	168 вот эгоизм и жестокость мужчина
618	я ничто хороший и не ожидать	и я ожидать ничто не хороший
619	приносить награда страдать она вот женщина и себя жертва вы она в	женщина приносить себя в жертва вы она страдать и вот она награда
620	требовать иметь чувство и вы право я высочество от привязанность какой ваш мой дружеский в отчёт	ваш высочество какой иметь вы право требовать от я отчёт в мой привязанность и дружеский чувство
621	это человек бывший для я большой чем отец	для человек это я чем бывший большой отец
622	он не который это я отказывать мой совсем дом же я ведь за следовать чувство 169 мочь ну отеческий но не быть из к от питать да он	169 ну да мочь быть чувство который он питать к я не совсем отеческий но ведь из за это не следовать же я отказывать он от мой дом
623	чтобы неблагодарность мужчина я платить не	я не мужчина чтобы платить неблагодарность
624	и чувство мой бог в отчёт отдавать что известно да ваш быть только высочество совесть я мой задушевный	да быть известно ваш высочество что в мой задушевный чувство я отдавать отчёт только бог и мой совесть
625	бог ради 170 я выслушать но	170 но выслушать я ради бог
626	жениться на я и я быть ваша раба	раба быть ваша на я жениться я и
627	но это невозможно	невозможно но это
628	снизойти год наш вы 171 жобер короткий удостоивать с я иезуит платье не до в брак вы	вы не удостоивать снизойти до брак с я вы 171 год наш жобер иезуит в короткий платье
629	172 блюститель совесть	172 блюститель совесть
630	173 благодать	173 благодать
631	174 в длинный платье	длинный 174 платье в
632	175 грех простительный или грех смертный	175 грех простительный грех или смертный
633	совесть блюститель 176	176 блюститель совесть
634	177 разобрать дело графиня	177 дело разобрать графиня
635	178 я элен надо что сказать ты кой	178 элен я надо ты кой что сказать
636	я прослышать о некоторый вид касательно ты знаешь	прослышать вид знаешь я некоторый ты касательно о
637	мой знаешь тот ты что отец велита ты как ты сердце дитя твой радоваться так терпеть милый дитя сердце поступать но столько ты ну что милый	ну так милый дитя мой ты знаешь что сердце отец твой радоваться тот что ты ты столько терпеть но милый дитя поступать как велита ты сердце
638	вот весь мой совет	совет мой весь вот
639	179 маленький интимный кружка	интимный 179 маленький кружка
640	делать я билибин что сказать сестра бы я 180 послушать как сказать вы	180 послушать билибин сказать я как бы сказать вы сестра что я делать
641	два который из	который из два
642	181 вы я не захватить врасплох вы знаете	не 181 знаете вы захватить вы врасплох я
643	как истинный друг я долго обдумывать ваш дело	друг дело я обдумывать ваш долго как истинный
644	вот видеть если выйти за принц то вы навсегда лишаться возможность быть жена другой и вдобавок двор быть недовольный	если недовольный то за другой вот вы жена принц быть видеть быть выйти навсегда возможность лишаться вдобавок двор и
645	замешать родство вы тут знаете ведь	вы знаете ведь тут замешать родство
646	не жениться последний выйти если унизительно граф вы потом за на уже счастие и быть составить старое он принц вельможа то день вдова а	а если выйти за старое граф то вы составить счастие последний день он и потом принц уже не быть унизительно жениться на вдова вельможа
647	истинный 182 вот друг	182 вот истинный друг
648	но ведь я любить тот и другой и не хотеть бы огорчать никто	я и и огорчать хотеть другой бы любить ведь но не никто тот
649	пожертвовать для жизние я бы счастие готовый оба	для счастие оба я готовый бы пожертвовать жизние
650	183 молодец женщина	молодец 183 женщина
651	вопрос поставить вот что называться твёрдо	вот что называться твёрдо поставить вопрос
652	она хотеть бы быть жена весь трое в один и то же время	то один она трое весь жена быть же время хотеть в и бы
653	184 ах	184 ах
654	так я он любить	он я так любить
655	он на весь для я готовый	весь я готовый на он для
656	185 даже и на развод	185 развод даже и на
657	186 ах маменька не говорить глупость	глупость ах маменька не говорить 186
658	вы ничто не понимать	ничто понимать не вы
659	в мыть положение есть обязанность	положение в обязанность есть мыть
660	187 ах маменька как вы не понимать что святой отец иметь власть отпущение 188 нет сказать он что я не хотеть он видеть что я взбесить против он потому что он я не сдержать слово	хотеть он 187 иметь потому я против святой он как что понимать не нет он слово видеть что что отец сказать я маменька что власть отпущение не взбесить не ах вы 188 сдержать он я
661	графиня милосердие всякий грех	графиня грех всякий милосердие
662	да быть он затем под друг бог покров сильный и святой 189 мой молить вы	189 затем молить бог да быть вы мой друг под святой и сильный он покров
663	елена друг ваш	друг ваш елена
664	190 подвиг достославный	190 достославный подвиг
665	191 между мы мой милый	между милый мой 191 мы
666	192 я любезный весь хорошо известно	весь 192 любезный я хорошо известно
667	193 так и есть	и 193 так есть
668	194 мы накануне общий бедствие и я некогда быть любезный с весь с кто у я есть дело	с дело есть весь я мы 194 кто и накануне быть любезный я общий с у некогда бедствие
669	итак любезный что вы предпринимать вы лично	вы предпринимать любезный что вы итак лично
670	195 да ничто	да 195 ничто
671	196 дружеский совет	дружеский совет 196
672	выбираться скорее вот что я вы сказать	что я скорее вы вот выбираться сказать
673	уметь блаженный кто слушаться	блаженный кто уметь слушаться
674	святой отцов общество иисусов	иисусов отцов общество святой
675	197 этот азиатский город с бесчисленный церковь москва святой они москва	бесчисленный 197 москва этот город святой москва они азиатский церковь с
676	вот наконец город он знаменитый этот	вот он наконец этот знаменитый город
677	пора	пора
678	город занятый неприятель подобный потерять невинность 198 девушка	198 город занятый неприятель подобный девушка потерять невинность
679	199 царь	царь 199
680	но мой милосердие всегда готовый низойти к победить	но милосердие к мой победить низойти всегда готовый
681	200 привести бояр	200 бояр привести
682	201 собрание в дворец царь	дворец царь 201 в собрание
683	мила бедный 202 матерь нежный мой	202 мой мила нежный бедный матерь
684	ред	ред
685	посвятить матерь учреждение мила мой 203	203 учреждение посвятить мой мила матерь
686	мой дом матерь	дом мой матерь
687	204 смешной	смешной 204
688	ред	ред
689	205 однако же надо сказать он но господин 206 но неловко невозможно 207 москва пустой	пустой но 205 невозможно неловко однако сказать надо господин же он но 206 207 москва
690	какой невероятный событие	невероятный событие какой
691	208 не удаться развязка театральный представление	театральный не удаться представление развязка 208
692	209 сохранить спокойствие в москва и выпроводить из нея житель	сохранить москва житель и 209 из нея выпроводить в спокойствие
693	210 вот он народец этот подонок народонаселение плебей который они поднять свой глупость	свой они вот этот 210 поднять который народец он народонаселение подонок глупость плебей
694	имя нужный жертва	нужный жертва имя
695	она 211 народный толпа страшный отвратительный	211 народный толпа страшный она отвратительный
696	они как волк они ничто не удовлетворить кроме мясо	они как кроме мясо удовлетворить волк ничто они не
697	212 у я быть другой обязанность	212 я обязанность быть у другой
698	следовать удовлетворить народ	удовлетворить народ следовать
699	много другой жертва погибнуть и гибнуть для общественный благо	для и другой жертва благо общественный гибнуть много погибнуть
700	213 общественный благо	благо общественный 213
701	214 путь мой быть бы совсем иначе начертать	быть бы 214 мой иначе совсем начертать путь
702	215 общественный благо	общественный благо 215
703	216 удобный случаем	216 удобный случаем
704	делать один два удар камень 217	217 один камень делать два удар
705	218 чернь злодей общественный благо	общественный чернь 218 злодей благо
706	219 пасть	пасть 219
707	220 убрать это	220 убрать это
708	овладеть ружьё стрелять этот наполнить 221 в крепость и арсенал француз несчастный священный	221 этот несчастный наполнить священный крепость овладеть ружьё арсенал и стрелять в француз
709	они от они некоторый из присутствие порубить и очистить сабля кремль	некоторый из они порубить сабля и очистить кремль от они присутствие
710	растопчина 222 патриотизм дикий	222 дикий патриотизм растопчина
711	ред	ред
712	компания весь 223 почтение	223 почтение весь компания
713	вы хозяин 224	224 вы хозяин
714	ребята 225 француз квартира квартира добрый	225 квартира квартира француз добрый ребята
715	черта взять не быть ссориться дедушка	ссориться взять черта не дедушка быть
716	неужели по 226 и ж говорить что французски никто тут не	226 что ж неужели и тут никто не говорить по французски
717	раненый вы не 227	227 вы не раненый
718	кажется нет но на этот раз близко быть	этот раз кажется близко нет но быть на
719	кто этот человек	этот кто человек
720	228 ах я право в отчаяние от тот что случиться	228 тот случиться я право в от ах что отчаяние
721	229 это несчастный сумасшедший который не знать что делать	не сумасшедший знать делать несчастный 229 это который что
722	ты я за 230 поплатиться это разбойник	230 разбойник ты я поплатиться за это
723	наш брат милосердый после победа но мы не прощать изменник	но не изменник наш милосердый мы после брат прощать победа
724	231 вы спасти я жизнь	вы спасти 231 я жизнь
725	вы француз	вы француз
726	го лёгкое 232 капитан мосье полка 13 рамбаля	232 мосье рамбаля капитан 13 го лёгкое полка
727	я русский 233	233 я русский
728	234 это рассказывать другой	234 рассказывать это другой
729	235 сейчас вы я весь это рассказать	весь рассказать это я вы 235 сейчас
