	true
6661	по обстоятельство нынешний софья данило с ребёнок уехать в торжковский деревня ваш сиятельство
6662	я весь таки войти я надо книга разобрать сказать пьер
6663	пожаловать милость просить братец покойник царство небесный
6664	макар алексей остаться да как изволить знать они в слабость сказать старый слуга
6665	макар алексей быть как знать пьер полусумасшедший пить запоем брат иосиф алексей
6666	да да знать
6667	пойти пойти сказать пьер и войти в дом
6668	высокий плешивый старый человек в халат с красный нос в калоша на босой нога стоялый в передний увидать пьер он сердито пробормотать что то и уйти в коридор
6669	большой ум быть а теперь как изволить видеть ослабеть сказать герасим
6670	в кабинет угодный
6671	пьер кивнуть голова
6672	кабинет как быть запечатать так и остаться
6673	софья данило приказывать ежели от вы прийти то отпустить книга
6674	пьер войти в тот самый мрачный кабинет в который он ещё при жизнь благодетель входить с такой трепет
6675	кабинет этот теперь запылить и нетронутый с время кончина иосиф алексей быть ещё мрачный
6676	герасим открыть один ставень и на цыпочка выйти из комната
6677	пьер обойти кабинет подойти к шкаф в который лежать рукопись и достать один из важный когда то святыня орден
6678	это быть подлинный шотландский акт с примечание и объяснение благодетель
6679	он сесть за письменный запылить стол и положить перед себя рукопись раскрывать закрывать они и наконец отодвинуть они от себя облокотиться голова на рука задуматься
6680	несколько раз герасим осторожно заглядывать в кабинет и видеть что пьер сидеть в тот же положение
6681	прошлый более два часы
6682	герасим позволить себя пошуметь в дверь чтоб обратить на себя внимание пьер
6683	пьер не слышать он
6684	извозчик отпустить приказать
6685	ах да очнуться сказать пьер поспешно вставать
6686	послушать сказать он взять герасим за пуговица сюртук и сверху вниз блестящий влажный восторженный глаз глядеть на старичок
6687	послушать ты знаешь что завтра быть сражение
6688	сказывать отвечать герасим
6689	я просить ты никто не говорить кто я
6690	и сделать что я сказать слушаться сказать герасим
6691	кушать приказать
6692	нет но я другой нужно
6693	я нужно крестьянский платье и пистолет сказать пьер неожиданно покраснеть
6694	слушать с подумать сказать герасим
6695	весь остаток это день пьер провести один в кабинет благодетель беспокойно шагать из один угол в другой как слышать герасим и что то сам с себя разговаривать и ночевать на приготовить он тут же постель
6696	герасим с привычка слуга видать много странный вещий на свой век принять переселение пьер без удивление и казалось быть довольный тем что он быть кома услуживать
6697	он в тот же вечер не спрашивать даже и самый себя для что это быть нужно достать пьер кафтан и шапка и обещать на другой день приобрести требовать пистолет
6698	макар алексей в этот вечер два раз шлёпать свой калоша подходить к дверь и останавливаться заискивающе глядеть на пьер
6699	но как только пьер оборачиваться к он он стыдливо и сердито запахивать свой халат и поспешно удаляться
6700	в то время как пьер в кучерской кафтан приобрести и выпарить для он герасим ходить с он покупать пистолет у сухарев башня он встретить ростовый
6701	xix 1 го сентябрь в ночь отдать приказ кутузов о отступление русский войско через москва на рязанский дорога
6702	один войско двинуться в ночь
6703	войско идти ночью не торопиться и двигаться медленно и степенно но на рассвет двигаться войско подходить к дорогомиловский мост увидать впереди себя на другой сторона тесниться спешить по мост и на тот сторона подниматься и запружать улица и переулок и позади себя напирать бесконечный масса войско
6704	и беспричинный поспешность и тревога овладеть войско
6705	весь броситься вперёд к мост на мост в брод и в лодка
6706	кутузов велеть обвезти себя задний улица на тот сторона москва
6707	к десять часы утро 2 го сентябрь в дорогомиловский предместье оставаться на простор один войско ариергарда
6708	армия быть уже на тот сторона москва и за москва
6709	в это же время в десять часы утро 2 го сентябрь наполеон стоялый между свой войско на поклонный горе и смотреть на открываться перед он зрелище
6710	начинать с 26 го август и по 2 е сентябрь от бородинский сражение и до вступление неприятель в москва в весь день этот тревожный этот памятный неделя стоялый тот необычайный всегда удивлять человек осенний погода когда низкий солнце греть жаркий чем весной когда весь блестеть в редкий чистый воздух так что глаз резать когда грудь крепнуть и свежеть вдыхать осенний пахучий воздух когда ночь даже бывать тёплый и когда в тёмный тёплый ночь этот с небо беспрестанно пугать и радовать сыпаться золотой звезда
6711	2 го сентябрь в десять часы утро быть такой погода
6712	блеск утро быть волшебный
6713	москва с поклонный гора расстилаться просторно с свой река свой сад и церковь и казалось жить свой жизнь трепетать как звезда свой купол в луч солнце
6714	при вид странный город с невиданный форма необыкновенный архитектура наполеон испытывать то несколько завистливый и беспокойный любопытство который испытывать человек при вид форма не знающий о они чуждый жизнь
6715	очевидно город этот жить весь сила свой жизнь
6716	по тем неопределимый признак по который на дальний расстояние безошибочно узнаться живой тело от мёртвый наполеон с поклонный гора видеть трепетание жизнь в город и чувствовать как бы дыхание это большой и красивый тело
6717	cette ville asiatique aux innombrables 233 glises moscou la sainte
6718	la voil 224 donc enfin cette fameuse ville
6719	il 233 tait temps 197 этот азиатский город с бесчисленный церковь москва святой они москва
6720	вот он наконец этот знаменитый город
6721	пора
6722	сказать наполеон и слезть с лошадь велеть разложить перед себя план этот moscou и подозвать переводчик lelorgne d ideville
6723	une ville occup 233 e par l ennemi ressemble 224 une fille qui a perdu son honneur 198 город занятый неприятель подобный девушка потерять невинность
6724	думать он как он и говорить это тучков в смоленск
6725	и с этот точка зрение он смотреть на лежать перед он невиданный ещё имя восточный красавица
6726	он странно быть самый что наконец свершиться он давнишний казаться он невозможный желание
6727	в ясный утренний свет он смотреть то на город то на план проверять подробность это город и уверенность обладание волновать и ужасать он
6728	но разве мочь быть иначе
6729	подумать он
6730	вот она этот столица у мой нога ожидать судьба свой
6731	где теперь александр и что думать он
6732	странный красивый величественный город
6733	и странный и величественный этот минута
6734	в какой свет представляться я имя
6735	думать он о свой войско
6736	вот она награда для весь этот маловерный думать он оглядываться на приблизить и на подходить и строиться войско
6737	один мой слово один движение мой рука и погибнуть этот древний столица des czars
6738	mais ma cl 233 mence est toujours prompte 224 descendre sur les vaincus
6739	199 царь
6740	но мой милосердие всегда готовый низойти к победить
6741	я должный быть великодушный и истинно велик
6742	но нет это неправда что я в москва вдруг приходить он в голова
6743	однако вот она лежать у мой нога играть и дрожать золотой купол и крест в луч солнце
6744	но я пощадить она
6745	на древние памятник варварство и деспотизм я написать великое слово справедливость и милосердие александр больной всего понять именно это я знать он
6746	наполеон казалось что главный значение тот что совершаться заключаться в личный борьба он с александр
6747	с высота кремль да это кремль да я дать имя закон справедливость я показать имя значение истинный цивилизация я заставить поколение бояр с любовь поминать имя свой завоеватель
6748	я сказать депутация что я не хотеть и не хотеть война что я вести война только с ложный политика они двор что я любить и уважать александр и что принять условие мир в москва достойный я и мой народ
6749	я не хотеть воспользоваться счастие война для унижение уважаемый государь
6750	боярин сказать я имя я не хотеть война а хотеть мир и благоденствие весь мой поддать
6751	впрочем я знать что присутствие они воодушевить я и я сказать имя как я всегда говорить ясно торжественно и большой
6752	но неужели это правда что я в москва
6753	да вот она
6754	qu on m am 232 ne les boyards 200 привести бояр
6755	обратиться он к свита
6756	генерал с блестящий свита тотчас же поскакать за бояр
6757	прошлый два час
6758	наполеон позавтракать и опять стоялый на тот же место на поклонный горе ожидать депутация
6759	речь он к бояр уже ясно сложиться в он воображение
6760	речь этот быть исполнить достоинство и тот величие который понимать наполеон
6761	тот тон великодушие в который намеренный быть действовать в москва наполеон увлечь он самый
6762	он в воображение свой назначать день r 233 union dans le palais des czars 201 собрание в дворец царь
6763	где должный быть сходиться русский вельможа с вельможа французский император
6764	он назначать мысленно губернатор такой который бы суметь привлечь к себя население
6765	узнать о тот что в москва много богоугодный заведение он в воображение свой решать что весь этот заведение быть осыпать он милость
6766	он думать что как в африка надо быть сидеть в бурнус в мечеть так в москва надо быть быть милостивый как царь
6767	и чтобы окончательно тронуть сердце русский он как и каждый француз не мочь себя вообразить ничто чувствительный без упоминание о тот ch 232 re ma tendre ma pauvre m 232 re 202 мой мила нежный бедный матерь
6768	ред
6769	он решить что на весь этот заведение он велита написать больший буква etablissement d 233 di 233 224 ma ch 232 re m 232 re
6770	нет просто maison de ma m 232 re 203 учреждение посвятить мой мила матерь
6771	дом мой матерь
6772	решить он сам с себя
6773	но неужели я в москва
6774	да вот она перед я
6775	но что же так долго не являться депутация город
6776	думать он
6777	между тем в зад свита император происходить шёпотом взволновать совещание между он генерал и маршал
6778	послать за депутация вернуться с известие что москва пустой что весь уехать и уйти из нея
6779	лицо совещаться быть бледный и взволнованный
6780	не то что москва быть оставить житель как ни важный казалось это событие пугать они но они пугать то какой образ объявить о тот император какой образ не ставить он величество в то страшный называть француз ridicule 204 смешной
6781	ред
6782	положение объявить он что он напрасно ждать бояр так долго что есть толпа пьяный но никто большой
6783	один говорить что надо быть в что бы то ни стать собрать хоть какой нибыть депутация другой оспаривать это мнение и утверждать что надо осторожно и умно приготовить император объявить он правда
6784	il faudra le lui dire tout de m 234 me говорить господин свита
6785	mais messieurs 205 однако же надо сказать он но господин положение быть тем тяжеле что император обдумывать свой план великодушие терпеливо ходить взад и вперёд перед план посматривать изредка из под рука по дорога в москва и весело и гордо улыбаться
6786	mais c est impossible 206 но неловко невозможно пожимать плечо говорить господин свита не решаться выговорить подразумевать страшный слово le ridicule между тем император устать от тщетный ожидание и свой актёрский чутьё чувствовать что величественный минута продолжаться слишком долго начинать терять свой величественность подать рука знак
6787	раздаться одинокий выстрел сигнальный пушка и войско с разный сторона обложить москва двинуться в москва в тверская калужский и дорогомиловский застава
6788	быстрый и быстрый перегонять один другой беглый шагом и рысью двигаться войско скрываться в поднимать они облако пыль и оглашать воздух сливаться гул крик
6789	увлечь движение войско наполеон доехать с войско до дорогомиловский застава но там опять остановиться и слезть с лошадь долго ходить у камерколлежский вала ожидать депутация
6790	xx москва между тем быть пустой
6791	в она быть ещё человек в она оставаться ещё пятьдесят часть весь бывший прежде житель но она быть пустой
6792	она быть пустой как пустой бывать домирать обезматочить уля
6793	в обезматочить улья уже нет жизнь но на поверхностный взгляд он кажется такой же живой как и другой
6794	так же весело в жаркое луч полуденный солнце виться пчела вокруг обезматочить улья как и вокруг другой живой улей так же издалёка пахнуть от он мёд так же влетать и вылетать из он пчела
6795	но стоить приглядеться к он чтобы понять что в улья это уже нет жизнь
6796	не так как в живой улей летать пчела не тот запах не тот звук поражать пчеловод
6797	на стук пчеловод в стенка больной улья вместо прежний мгновенный дружный ответ шипение десяток тысяча пчела грозно поджимать зад и быстрый бой крыло производить этот воздушный жизненный звук он отвечать разрозненный жужжание гулко раздаваться в разный место пустой улья
6798	из летка не пахнуть как прежде спиртовой душистый запах мёд и яд не нести оттуда тепло полнота а с запах мёд сливаться запах пустота и гниль
6799	у летка нет большой готовиться на погибель для защита поднять кверху зад трубить тревога стража
6800	нет большой тот ровный и тихий звук трепетание труд подобный звук кипение а слышаться нескладный разрозненный шум беспорядок
6801	в уля и из улья робко и увёртливый влетать и вылетать чёрный продолговатый смазать мёд пчела грабительница они не жалить а ускользать от опасность
6802	прежде только с ноша влетать а вылетать пустой пчела теперь вылетать с ноша
6803	пчеловод открывать нижний колодезень и вглядываться в нижний часть улья
6804	вместо прежде висеть до уза нижний дно чёрный усмирить труд плеть сочный пчела держать за нога друг друг и с непрерывный шёпотом труд тянущий вощин сонный ссохнуться пчела в разный сторона брести рассеянно по дно и стенка улья
6805	вместо чисто залепить клей и смести веер крыло полый на день лежать крошка вощин испражнение пчела полумертвый чуть шевелить ножка и совершенно мёртвый неприбранный пчела
6806	пчеловод открывать верхний колодезень и осматривать голова улья
6807	вместо сплошной ряд пчела облепить весь промежуток сотовый и греть детва он видеть искусный сложный работа сотовый но уже не в тот вид девственность в который она бывать прежде
6808	весь запустить и загадить
6809	грабительница чёрный пчела шнырять быстро и украдисто по работа свой пчела ссохнуться короткий вялый как будто старое медленно бродить никто не мешать ничто не желать и потерять сознание жизнь
6810	трутень шершень шмель бабочка бестолковый стучаться на лёт о стенка улья
6811	кой где между вощина с мёртвый ребёнок и мёд изредка слышаться с разный сторона сердитый брюзжание где нибыть два пчела по старый привычка и память очищать гнездо улья старательно сверх сила тащить прочь мёртвый пчела или шмель сам не знать для что они это делать
6812	в друг угол другой два старое пчела лениво драться или чиститься или кормить один другой сам не знать враждебно или дружелюбно они это делать
6813	в третье место толпа пчела давить друг друг нападать на какой нибыть жертва и бить и душить она
6814	и ослабеть или убитый пчела медленно легко как пух спадать сверху в куча труп
6815	пчеловод разворачивать два средний вощин чтобы видеть гнездо
6816	вместо прежний сплошной чёрный круг спинка с спинка сидеть тысяча пчела и блюсти высокий тайна родной дело он видеть сотня унылый полуживой и заснуть остов пчела
6817	они почти весь умереть сам не знать это сидеть на святыня который они блюсти и который уже нет большой
6818	от они пахнуть гниль и смерть
6819	только некоторый из они шевелиться подниматься вяло лететь и садиться на рука враг не в сила умереть жалить он остальной мёртвый как рыбий чешуя легко сыпаться вниз
6820	пчеловод закрывать колодезень отмечать мел колодка и выбрать время выламывать и выжигать она
6821	так пустой быть москва когда наполеон усталый беспокойный и нахмурить ходить взад и вперёд у камерколлежский вала ожидать тот хотя внешний но необходимый по он понятие соблюдение приличие депутация
6822	в разный угол москва только бессмысленно ещё шевелиться человек соблюдать старое привычка и не понимать тот что они делать
6823	когда наполеон с должный осторожность быть объявить что москва пустой он сердито взглянуть на доносить о это и отвернуться продолжать ходить молча
6824	подать экипаж сказать он
6825	он сесть в карета ряд с дежурный адъютант и поехать в предместье
6826	moscou d 233 serte
6827	quel 233 v 233 nement invraisemblable
6828	207 москва пустой
6829	какой невероятный событие
6830	говорить он сам с себя
6831	он не поехать в город а остановиться на постоялое двор дорогомиловский предместье
6832	le coup de th 233 226 tre avait rat 233
6833	208 не удаться развязка театральный представление
6834	xxi русский войско проходить через москва с два часы ночь и до два часы день и увлекать за себя последний уезжать житель и раненый
6835	самый большой давка в время движение войско происходить на мост каменный москворецкий и яузский
6836	в то время как раздвоиться вокруг кремль войско спереться на москворецкий и каменный мост огромный число солдат пользоваться остановка и теснота возвращаться назад от мост и украдчивый и молчаливо прошныривать мимо василий блаженный и под боровицкий ворот назад в гора к красный площадь на который по какой то чутьё они чувствовать что можно брать без труд чужое
6837	такой же толпа человек как на дешёвый товар наполнять гостиный двор в весь он ход и переход
6838	но не быть ласково приторный заманивать голос гостинодворец не быть разносчик и пёстрый женский толпа покупатель один быть мундир и шинель солдат без ружьё молчаливо с ноша выходить и без ноша входить в ряд
6839	купец и сиделец они быть мало как потерянный ходить между солдат отпирать и запирать свой лавка и сам с молодец куда то выносить свой товар
6840	на площадь у гостиный двор стоять барабанщик и бить сбор
6841	но звук барабан заставлять солдат грабитель не как прежде сбегаться на зов а напротив заставлять они отбегать далёкий от барабан
6842	между солдат по лавка и проход виднеться человек в серый кафтан и с бритый голова
6843	два офицер один в шарф по мундир на худой темно сера лошадь другой в шинель пешком стоять у угол ильинка и о чем то говорить
6844	три офицер подскакать к он
6845	генерал приказать в что бы то ни стать сейчас выгнать весь
6846	что ж это ни на что не похоже
6847	половина человек разбежаться
6848	ты куда
6849	вы куда
6850	крикнуть он на три пехотный солдат который без ружьё подобрать полый шинель проскользнуть мимо он в ряд
6851	стоять каналья
6852	да вот изволить они собрать
6853	отвечать другой офицер
6854	они не собрать надо идти скорее чтобы последний не уйти вот и весь
6855	как же идти
6856	там стать сперлисить на мост и не двигаться
6857	или цепь поставить чтобы последний не разбежаться
6858	да пойти же туда
6859	гнать ж они вон
6860	крикнуть старший офицер
6861	офицер в шарф слеза с лошадь кликнуть барабанщик и войти с он вместе под арка
6862	несколько солдат броситься бежать толпа
6863	купец с красный прыщ по щека около нос с покойно непоколебимый выражение расчёт на сытый лицо поспешно и щеголеватый размахивать рука подойти к офицер
6864	ваш благородие сказать он сделать милость защитить
6865	мы не расчёт пустяк какой ни на есть мы с наш удовольствие
6866	пожаловать сукно сейчас вынести для благородный человек хоть два кусок с наш удовольствие
6867	потому что мы чувствовать а это что ж один разбой
6868	пожаловать
6869	караул что ли бы приставить хоть запереть дать бы несколько купцов столпиться около офицер
6870	э
6871	попусту брехать то
6872	сказать один из они худощавый с строгий лицо
6873	снять голова по волос не плакать
6874	брать что кома любо
6875	и он энергический жест махнуть рука и боком повернуться к офицер
6876	ты иван сидор хорошо говорить сердито заговорить один купец
6877	вы пожаловать ваш благородие
6878	что говорить
6879	крикнуть худощавый
6880	у я тут в три лавка на сто тысяча товар
6881	разве уберечь когда войско уйти
6882	эх народ божий власть не рука скласть
6883	пожаловать ваш благородие говорить один купец кланяться
6884	офицер стоялый в недоумение и на лицо он видный быть нерешительность
6885	да я что за дело
6886	крикнуть он вдруг и пойти быстрый шаг вперёд по ряд
6887	в один отпереть лавка слышаться удар и ругательство и в то время как офицер подходить к она из дверь выскочить вытолкнуть человек в серый армяк и с бритый голова
6888	человек этот согнуться проскочить мимо купцов и офицер
6889	офицер напуститься на солдат бывший в лавка
6890	но в это время страшный крик огромный толпа послышаться на москворецкий мост и офицер выбежать на площадь
6891	что такой
6892	что такой
6893	спрашивать он но товарищ он уже скакать по направление к крик мимо василий блаженный
6894	офицер сесть верхом и поехать за он
6895	когда он подъехать к мост он увидать снятой с передковый два пушка пехота идти по мост несколько повалить телега несколько испуганный лицо и смеяться лицо солдат
6896	подле пушка стоялый один повозка запрячь пара
6897	за повозка сзади колесо жаться четыре борзый собака в ошейник
6898	на повозка быть гора вещий и на самый верх ряд с детский кверху ножка перевернуть стульчик сидеть баба пронзительно и отчаянно визжать
6899	товарищ рассказывать офицер что крик толпа и визг баба произойти оттого что наехать на этот толпа генерал ермол узнать что солдат разбредаться по лавка а толпа житель запружать мост приказать снять орудие с передковый и сделать пример что он быть стрелять по мост
6900	толпа валя повозка давить друг друг отчаянно кричать тесниться расчистить мост и войско двинуться вперёд
6901	xxii в самый город между тем быть пусто
6902	по улица никто почти не быть
6903	ворот и лавка весь быть запереть кой где около кабаков слышаться одинокий крик или пьяный пение
6904	никто не ездить по улица и редко слышаться шаг пешеход
6905	на поварской быть совершенно тихо и пустынно
6906	на огромный двор дом ростовый валяться объедок сена помета съехать обоз и не быть видно ни один человек
6907	в остаться с весь свой добром дом ростовый два человек быть в большой гостиный
6908	это быть дворник игнат и казачок мишка внук василья остаться в москва с дед
6909	мишка открыть клавикорды играть на они один палец
6910	дворник подбочениться и радостно улыбаться стоялый пред больший зеркало
6911	вот ловко то
6912	а
6913	дядюшка игнат
6914	говорить мальчик вдруг начинать хлопать оба рука по клавиш
6915	ишь ты
6916	отвечать игнат дивоваться на то как весь более и более улыбаться он лицо в зеркало
6917	бессовестный
6918	право бессовестный
6919	заговорить сзади они голос тихо войти мавр кузминишный
6920	эка толсторожий зуб то скалить
6921	на это вы взять
6922	там весь не прибрать василья с нога сбиться
6923	дать срок
6924	игнат поправлять поясок перестать улыбаться и покорно опустить глаз пойти вон из комната
6925	тётенька я полегоньку сказать мальчик
6926	я тот дать полегоньку
6927	пострелёнок
6928	крикнуть мавр кузминишный замахиваться на он рука
6929	идти дед самовар ставить
6930	мавр кузминишный смахнуть пыль закрыть клавикорды и тяжело вздохнуть выйти из гостиный и запереть входной дверь
6931	выйти в двор мавр кузминишный задуматься о тот куда она идти теперь пить ли чаять к василья в флигель или в кладовая прибрать то что ещё не быть прибрать
6932	в тихий улица послышаться быстрый шаг
6933	шаг остановиться у калитка щеколда стать стучать под рука стараться отпереть она
6934	мавр кузминишный подойти к калитка
6935	кто надо
6936	граф граф илья андрей ростов
6937	да вы кто
6938	я офицер
6939	я бы видеть нужно сказать русский приятный и барский голос
6940	мавр кузминишный отпереть калитка
6941	и на двор войти год восемнадцать круглолицый офицер тип лицо похожий на ростовый
6942	уехать батюшка
6943	вчерашний число в вечерня изволить уехать ласково сказать мавр кузминишный
6944	молодая офицер стоя в калитка как бы в нерешительность войти или не войти он пощёлкать язык
6945	ах какой досада
6946	проговорить он
6947	я бы вчера ах как жалко
6948	мавр кузминишный между тем внимательно и сочувственно разглядывать знакомый она черта ростовский порода в лицо молодой человек и изорвать шинель и стоптать сапог который быть на немой
6949	вы зачем же граф надо быть
6950	спросить она
6951	да уж что делать
6952	с досада проговорить офицер и взяться за калитка как бы намереваться уйти
6953	он опять остановиться в нерешительность
6954	видеть ли
6955	вдруг сказать он
6956	я родственник граф и он всегда очень добрый быть к я
6957	так вот видеть ли он с добрый и весёлый улыбка посмотреть на свой плащ и сапог и обноситься и деньга ничто нет так я хотеть попросить граф мавр кузминишный не дать договорить он
6958	вы минуточка бы повременить батюшка
6959	одной минуточка сказать она
6960	и как только офицер отпустить рука от калитка мавр кузминишный повернуться и быстрый старушечий шагом пошлый на задний двор к свой флигель
6961	в то время как мавр кузминишный бегать к себя офицер опустить голова и глядеть на свой прорвать сапог слегка улыбаться прохаживаться по двор
6962	как жалко что я не застать дядюшка
6963	а славный старушка
6964	куда она побежалый
6965	и как бы я узнать какой улица я близкий догнать полк который теперь должный подходить к рогожский
6966	думать в это время молодая офицер
6967	мавр кузминишный с испуганный и вместе решительный лицо нести в рука свёрнутый клетчатый платочек выйти из за угол
6968	не доходить несколько шаг она развернуть платок вынуть из он белый двадцатипятирублёвый ассигнация и поспешно отдать она офицер
6969	быть бы они сиятельство дом известно они бы точно по родственный а вот мочь теперича мавр кузминишный заробеть и смешаться
6970	но офицер не отказываться и не торопиться взять бумажка и поблагодарить мавр кузминишн
6971	как бы граф дом быть извиняться весь говорить мавр кузминишный
6972	христос с вы батюшка
6973	спасти вы бог говорить мавр кузминишный кланяться и провожать он
